"measure","beta","bval_mean","crI_95_lower","crI_95_upper","crl_89_lower","crl_89_upper","hpdi_95_lower","hpdi_95_upper","hpdi_89_lower","hpdi_89_upper","bval_median"
"gaze_duration","b_0",264.190610681411,244.619260773576,284.622185566403,248.256026221115,280.920395166727,243.90605648273,283.736508929521,247.885135087178,280.393835142762,263.987063128516
"gaze_duration","b_Gram",15.4646765360481,0.50237664688918,30.3866517187606,3.24200477950267,27.3978057020841,-0.0668019708543568,29.7024195896402,3.1101474964783,27.2171965141526,15.5306412145625
"gaze_duration","b_Gen",-5.17552799053709,-17.1339750634859,6.93038739817713,-14.990071158197,4.6539316707906,-16.857405967556,7.19460256626624,-14.796876686337,4.7994448664108,-5.18394864917127
"gaze_duration","b_TypL",16.8816195701141,-5.88277401372207,38.4842160202515,-1.42416808403622,34.5173779908003,-5.94211482353421,38.2220119971736,-1.19041878261379,34.6531178938233,16.9311283469332
"gaze_duration","b_TypS",-11.5510040090385,-31.114465682605,8.46512024826512,-27.6079303388857,4.48715299710259,-30.9144836554205,8.64362881071943,-26.8770908464871,5.08297622767935,-11.6330427692585
"gaze_duration","b_Gram_x_TypL",-0.0760466577326615,-13.6960383880567,13.678844870258,-11.5097760851073,11.3860620122856,-13.4927170501881,13.8286429964752,-10.810205303246,11.8713709258574,-0.0577078580694206
"gaze_duration","b_Gram_x_TypS",3.29969762916008,-10.503293259853,16.8770659721907,-7.81255007801445,14.5050594151389,-9.91878705713077,17.350591724014,-7.41535538426339,14.8331842768171,3.25320275909959
"gaze_duration","b_Gram_x_Gen_x_TypL",10.4403403921046,-1.99896548045259,22.88972969058,0.375381341048808,20.4323707442679,-1.96341112662202,22.9120710694173,0.279185549962676,20.3081362411125,10.445937532337
"gaze_duration","b_Gram_x_Gen_x_TypS",-11.3683978203538,-23.5645424138592,0.601675824538943,-21.3745720806215,-1.77409558628745,-23.8830611526386,0.179202823805895,-21.191900925935,-1.64414795567754,-11.2845019319913
"go_past_time","b_0",338.36249474619,308.435844944182,371.325756833254,313.15638675634,364.900426134298,307.873755870508,370.394040365228,312.205778104195,363.614308083841,337.831884978965
"go_past_time","b_Gram",63.793007948355,37.5911501766958,91.2358748453664,42.2085412017722,85.8206219519048,37.0776277085519,90.5747562236921,41.6107176745367,85.155271762996,63.847962418435
"go_past_time","b_Gen",-3.07213139607016,-20.4880958581614,14.1565795144462,-16.9456381980005,11.0231672466825,-20.2891838469587,14.3689209353366,-17.0685423008386,10.8106393142402,-3.07568705569528
"go_past_time","b_TypL",76.2421346256268,38.2251076384389,114.734690268908,45.284638535191,106.666628649458,38.0134656513065,114.460469143617,44.8523968033671,106.04200084262,76.5610565690005
"go_past_time","b_TypS",-61.8640819554385,-101.203231212567,-22.3952482847545,-93.795727947979,-30.2893132241934,-101.812677724967,-23.171614015657,-93.8154372159621,-30.3666915309283,-61.8673493455445
"go_past_time","b_Gram_x_TypL",6.59032059241939,-16.2489903263986,28.9197893152439,-11.7707575881435,24.4812286087414,-16.2544501696963,28.918452007101,-11.675856548589,24.5673291103786,6.74051313302715
"go_past_time","b_Gram_x_TypS",-6.9515884867665,-30.1281515047877,16.6336832552736,-25.6890908278393,11.8931073395744,-30.9560355302892,15.47710561349,-25.1179480755071,12.4370729849585,-6.99408081490839
"go_past_time","b_Gram_x_Gen_x_TypL",11.9678862055229,-8.04376216017081,31.4736622696697,-4.05134564190404,27.9350123777542,-7.86274730009097,31.5153683998988,-3.54554979825951,28.2217386193408,12.0558194793744
"go_past_time","b_Gram_x_Gen_x_TypS",-8.85743083038108,-28.9718900029815,10.970790677436,-24.8426952725126,6.90722096942342,-28.6116744121186,11.1467718295104,-25.008819997712,6.69180511709777,-8.81277290775401
"total_duration","b_0",369.772622923021,334.510827699685,407.661957677201,340.534789668137,400.419338684854,333.999310651838,407.029593927688,339.527821008794,398.976776051667,369.197089059515
"total_duration","b_Gram",63.9878238969061,38.2246931536499,91.4666588087252,42.5596104143086,85.6845028591807,38.0578731741546,91.1687450798082,42.4726401876794,85.5462801329165,63.75861401696
"total_duration","b_Gen",-2.70057648679454,-25.8012214700781,19.9333797203738,-21.2048460583392,15.8667638433959,-24.7906580291927,20.6423170457679,-21.9939305890586,14.9779752322324,-2.71465742119761
"total_duration","b_TypL",93.4851755750096,50.7520540746741,135.070835887257,59.3631273563532,126.721224821598,51.3641853711149,135.425700197272,59.9221032237742,127.019326865316,93.4645092542677
"total_duration","b_TypS",-67.8896328614392,-110.509228482084,-24.4302435526243,-102.358850953821,-32.6514770821226,-110.510964249541,-24.4318132767099,-101.260267356856,-31.7452850045424,-68.191171252615
"total_duration","b_Gram_x_TypL",4.03127311384447,-21.2802515334157,28.5742914565644,-16.1058225373562,23.9370847298071,-20.854715046066,28.8602677532844,-16.0750692565144,23.948046452538,4.16585855364534
"total_duration","b_Gram_x_TypS",1.49332152164186,-23.6210258363826,26.5398887726162,-19.054874006819,21.7964544343466,-23.5224408778045,26.5878788081974,-19.2239292328748,21.567796020541,1.62454367102208
"total_duration","b_Gram_x_Gen_x_TypL",14.3017689057229,-4.39680359271856,33.0497808873929,-0.72666420513708,29.512888760424,-4.08785988353429,33.2365047776614,-0.519020023265568,29.6491394144558,14.2569989868208
"total_duration","b_Gram_x_Gen_x_TypS",-4.10822127863596,-24.7025406340648,15.750644069173,-20.326139190873,12.2483293272181,-23.2523985563334,16.8413185272283,-20.7630752437498,11.7424747658122,-4.18856580847489
"FPReg","b_0",0.252639405028978,0.189745299901444,0.326945486748251,0.199503704415938,0.311679092175377,0.18590595639183,0.320855453532095,0.195336273636943,0.306588348404075,0.251003723951463
"FPReg","b_Gram",0.102483842496901,0.0606888108461291,0.147875882919166,0.06838256356195,0.139129531215925,0.0604071799086255,0.147587807413947,0.066995239288929,0.137372419670937,0.101568003439857
"FPReg","b_Gen",0.00583010271490724,-0.0142471182716706,0.0270217810506413,-0.0106547534952374,0.0230406978324296,-0.014971006992354,0.0260421580662965,-0.0108398146832437,0.0227585491874722,0.00564621521787236
"FPReg","b_TypL",0.0530648968166364,0.0257256772522161,0.0823913040596542,0.030427288521881,0.0766415959960749,0.0257898730589881,0.0824043037493086,0.030813961522267,0.076981878168584,0.0526715278048471
"FPReg","b_TypS",-0.0549988040396794,-0.0904285956673324,-0.0155816379793981,-0.0842828190201852,-0.023019454410892,-0.0916315301076722,-0.017089152296654,-0.0858157168034816,-0.0247876651426092,-0.0558977105012406
"FPReg","b_Gram_x_TypL",-0.0180537796219926,-0.079569632827691,0.0425728696111323,-0.0675499626628497,0.030776502489013,-0.0824180175813427,0.0391872074364861,-0.0667681229913864,0.0314836357414244,-0.0183548205740358
"FPReg","b_Gram_x_TypS",-0.00159821566471293,-0.0581878379026612,0.0570123029268043,-0.0473709285277465,0.0457382477554977,-0.0617500736536122,0.0526609351181253,-0.0475810278374512,0.0454276835604766,-0.00226104020059634
"FPReg","b_Gram_x_Gen_x_TypL",-0.00179936880835129,-0.053288078792013,0.0477880988468218,-0.04286741873694,0.0388721510625678,-0.051627858326732,0.0490457227080607,-0.0445622727927835,0.0366012846699341,-0.00150048426309236
"FPReg","b_Gram_x_Gen_x_TypS",0.019818118160437,-0.0309963046721215,0.0708048929376875,-0.020579716892492,0.061789954202595,-0.0288381249734911,0.0725510950012079,-0.0201089321772923,0.0621888247627998,0.0196088573629403
"RegIn","b_0",0.138318405565233,0.0952239942096315,0.189442819050112,0.103091572166093,0.178885920274019,0.0923906858710404,0.185275222517504,0.0989103105334046,0.174402488260597,0.136651194920477
"RegIn","b_Gram",0.0248297283008713,-0.0010715159214316,0.0563532173437495,0.00326055277924373,0.0486734271505933,-0.00233438682335109,0.0542479733060977,0.00315620008388287,0.0483481489803105,0.0240577216740801
"RegIn","b_Gen",-0.00233363107921794,-0.0187469700514907,0.0150952734973596,-0.0157217220070775,0.0119379615297526,-0.0180915243421673,0.0155427735361666,-0.0159520888515689,0.0116076131072002,-0.00259985541593487
"RegIn","b_TypL",0.0190432840682317,0.00108236561233556,0.0395249367947194,0.00412694288130039,0.0351886091459955,-0.000302167049637911,0.0380368620478727,0.0036837994702576,0.0345833223937704,0.0186766819939252
"RegIn","b_TypS",-0.0273880445452451,-0.0533294360135231,0.00203564509863813,-0.0486717604178609,-0.00383563878126521,-0.0533496441074278,0.0020170068212101,-0.0495313324726859,-0.00486637749223789,-0.0281506479817968
"RegIn","b_Gram_x_TypL",0.0100907476261527,-0.0391431761304965,0.060265093791284,-0.0306374554077793,0.0510831784484899,-0.0380901061041361,0.0611092591322125,-0.028041095213845,0.053293845449627,0.0102167687608861
"RegIn","b_Gram_x_TypS",0.00194978571663682,-0.0473485485305408,0.0529574384221473,-0.0380062432533965,0.0426242702668969,-0.0467466024068654,0.0533795252254476,-0.0386831073572783,0.0417654658167738,0.00186355504684124
"RegIn","b_Gram_x_Gen_x_TypL",0.00831657555097818,-0.0357940929660608,0.0525626480865712,-0.0269047855740764,0.0436483883105245,-0.0370723530947176,0.0510285309212708,-0.0270251221946583,0.0434110907436163,0.00835537869473747
"RegIn","b_Gram_x_Gen_x_TypS",-0.0314651078741408,-0.0723829272585947,0.00675930946518015,-0.0642513066734929,-0.000374024626870359,-0.0710380653686362,0.00802607945908157,-0.0636799662360284,-0.0000557863346263149,-0.0311066616967258
