"method","region","measure","effect_name","effect_value"
"motr","R3","gaze_duration","b_0",6.06
"motr","R3","gaze_duration","b_Gram",0.07
"motr","R3","gaze_duration","b_Gen",-0.01
"motr","R3","gaze_duration","b_Synt",-0.08
"motr","R3","gaze_duration","b_Lex",-0.06
"motr","R3","gaze_duration","b_Gram_x_Synt",0.02
"motr","R3","gaze_duration","b_Gram_x_Lex",0.02
"motr","R3","gaze_duration","b_Gram_x_Gen_x_Synt",0.06
"motr","R3","gaze_duration","b_Gram_x_Gen_x_Lex",-0.01
"motr","R3","gaze_duration","sj_0",0.31
"motr","R3","gaze_duration","sj_Gram",0.13
"motr","R3","gaze_duration","sj_Gen",0.06
"motr","R3","gaze_duration","sj_Synt",0.03
"motr","R3","gaze_duration","sj_Lex",0.07
"motr","R3","gaze_duration","sj_Gram_x_Synt",0.08
"motr","R3","gaze_duration","sj_Gram_x_Lex",0.05
"motr","R3","gaze_duration","sj_Gram_x_Gen_x_Synt",0.05
"motr","R3","gaze_duration","sj_Gram_x_Gen_x_Lex",0.09
"motr","R3","gaze_duration","it_0",0.11
"motr","R3","gaze_duration","it_Gram",0.04
"motr","R3","gaze_duration","it_Gen",0.04
"motr","R3","gaze_duration","residual",0.38
"motr","R3","gaze_duration","L_u[2,1]",0.04
"motr","R3","gaze_duration","L_u[3,1]",-0.08
"motr","R3","gaze_duration","L_u[3,2]",0.01
"motr","R3","gaze_duration","L_u[4,1]",-0.05
"motr","R3","gaze_duration","L_u[4,2]",0.03
"motr","R3","gaze_duration","L_u[4,3]",0.07
"motr","R3","gaze_duration","L_u[5,1]",-0.06
"motr","R3","gaze_duration","L_u[5,2]",0.1
"motr","R3","gaze_duration","L_u[5,3]",0.12
"motr","R3","gaze_duration","L_u[5,4]",0.02
"motr","R3","gaze_duration","L_u[6,1]",0.3
"motr","R3","gaze_duration","L_u[6,2]",-0.07
"motr","R3","gaze_duration","L_u[6,3]",-0.01
"motr","R3","gaze_duration","L_u[6,4]",0.02
"motr","R3","gaze_duration","L_u[6,5]",0.03
"motr","R3","gaze_duration","L_u[7,1]",-0.11
"motr","R3","gaze_duration","L_u[7,2]",0.02
"motr","R3","gaze_duration","L_u[7,3]",0.05
"motr","R3","gaze_duration","L_u[7,4]",0
"motr","R3","gaze_duration","L_u[7,5]",0.05
"motr","R3","gaze_duration","L_u[7,6]",-0.18
"motr","R3","gaze_duration","L_u[8,1]",0.02
"motr","R3","gaze_duration","L_u[8,2]",0.03
"motr","R3","gaze_duration","L_u[8,3]",0.02
"motr","R3","gaze_duration","L_u[8,4]",0.01
"motr","R3","gaze_duration","L_u[8,5]",0.02
"motr","R3","gaze_duration","L_u[8,6]",0.02
"motr","R3","gaze_duration","L_u[8,7]",0.03
"motr","R3","gaze_duration","L_u[9,1]",0
"motr","R3","gaze_duration","L_u[9,2]",-0.03
"motr","R3","gaze_duration","L_u[9,3]",0.04
"motr","R3","gaze_duration","L_u[9,4]",0.03
"motr","R3","gaze_duration","L_u[9,5]",0.03
"motr","R3","gaze_duration","L_u[9,6]",-0.05
"motr","R3","gaze_duration","L_u[9,7]",0.03
"motr","R3","gaze_duration","L_u[9,8]",-0.01
"motr","R3","gaze_duration","L_w[2,1]",-0.01
"motr","R3","gaze_duration","L_w[3,1]",0.02
"motr","R3","gaze_duration","L_w[3,2]",0.02
"motr","R3","go_past_time","b_0",6.14
"motr","R3","go_past_time","b_Gram",0.13
"motr","R3","go_past_time","b_Gen",0
"motr","R3","go_past_time","b_Synt",-0.1
"motr","R3","go_past_time","b_Lex",-0.08
"motr","R3","go_past_time","b_Gram_x_Synt",0.04
"motr","R3","go_past_time","b_Gram_x_Lex",0.01
"motr","R3","go_past_time","b_Gram_x_Gen_x_Synt",0.07
"motr","R3","go_past_time","b_Gram_x_Gen_x_Lex",0
"motr","R3","go_past_time","sj_0",0.31
"motr","R3","go_past_time","sj_Gram",0.15
"motr","R3","go_past_time","sj_Gen",0.09
"motr","R3","go_past_time","sj_Synt",0.04
"motr","R3","go_past_time","sj_Lex",0.06
"motr","R3","go_past_time","sj_Gram_x_Synt",0.06
"motr","R3","go_past_time","sj_Gram_x_Lex",0.04
"motr","R3","go_past_time","sj_Gram_x_Gen_x_Synt",0.06
"motr","R3","go_past_time","sj_Gram_x_Gen_x_Lex",0.12
"motr","R3","go_past_time","it_0",0.09
"motr","R3","go_past_time","it_Gram",0.05
"motr","R3","go_past_time","it_Gen",0.04
"motr","R3","go_past_time","residual",0.46
"motr","R3","go_past_time","L_u[2,1]",0.16
"motr","R3","go_past_time","L_u[3,1]",-0.04
"motr","R3","go_past_time","L_u[3,2]",0.11
"motr","R3","go_past_time","L_u[4,1]",-0.02
"motr","R3","go_past_time","L_u[4,2]",0.08
"motr","R3","go_past_time","L_u[4,3]",0.09
"motr","R3","go_past_time","L_u[5,1]",0.05
"motr","R3","go_past_time","L_u[5,2]",0.11
"motr","R3","go_past_time","L_u[5,3]",0.1
"motr","R3","go_past_time","L_u[5,4]",0.01
"motr","R3","go_past_time","L_u[6,1]",0.17
"motr","R3","go_past_time","L_u[6,2]",-0.09
"motr","R3","go_past_time","L_u[6,3]",-0.01
"motr","R3","go_past_time","L_u[6,4]",0.02
"motr","R3","go_past_time","L_u[6,5]",0.03
"motr","R3","go_past_time","L_u[7,1]",-0.06
"motr","R3","go_past_time","L_u[7,2]",0.06
"motr","R3","go_past_time","L_u[7,3]",0.05
"motr","R3","go_past_time","L_u[7,4]",0.04
"motr","R3","go_past_time","L_u[7,5]",0.06
"motr","R3","go_past_time","L_u[7,6]",-0.05
"motr","R3","go_past_time","L_u[8,1]",0.04
"motr","R3","go_past_time","L_u[8,2]",0.01
"motr","R3","go_past_time","L_u[8,3]",0.04
"motr","R3","go_past_time","L_u[8,4]",0.01
"motr","R3","go_past_time","L_u[8,5]",0
"motr","R3","go_past_time","L_u[8,6]",0
"motr","R3","go_past_time","L_u[8,7]",0.01
"motr","R3","go_past_time","L_u[9,1]",0.1
"motr","R3","go_past_time","L_u[9,2]",0.09
"motr","R3","go_past_time","L_u[9,3]",0.04
"motr","R3","go_past_time","L_u[9,4]",0.03
"motr","R3","go_past_time","L_u[9,5]",0.02
"motr","R3","go_past_time","L_u[9,6]",0
"motr","R3","go_past_time","L_u[9,7]",0.05
"motr","R3","go_past_time","L_u[9,8]",-0.02
"motr","R3","go_past_time","L_w[2,1]",-0.08
"motr","R3","go_past_time","L_w[3,1]",0.01
"motr","R3","go_past_time","L_w[3,2]",-0.01
"motr","R3","total_duration","b_0",6.19
"motr","R3","total_duration","b_Gram",0.17
"motr","R3","total_duration","b_Gen",0
"motr","R3","total_duration","b_Synt",-0.11
"motr","R3","total_duration","b_Lex",-0.08
"motr","R3","total_duration","b_Gram_x_Synt",0.03
"motr","R3","total_duration","b_Gram_x_Lex",0.01
"motr","R3","total_duration","b_Gram_x_Gen_x_Synt",0.11
"motr","R3","total_duration","b_Gram_x_Gen_x_Lex",-0.03
"motr","R3","total_duration","sj_0",0.32
"motr","R3","total_duration","sj_Gram",0.09
"motr","R3","total_duration","sj_Gen",0.11
"motr","R3","total_duration","sj_Synt",0.04
"motr","R3","total_duration","sj_Lex",0.03
"motr","R3","total_duration","sj_Gram_x_Synt",0.12
"motr","R3","total_duration","sj_Gram_x_Lex",0.09
"motr","R3","total_duration","sj_Gram_x_Gen_x_Synt",0.07
"motr","R3","total_duration","sj_Gram_x_Gen_x_Lex",0.11
"motr","R3","total_duration","it_0",0.13
"motr","R3","total_duration","it_Gram",0.05
"motr","R3","total_duration","it_Gen",0.04
"motr","R3","total_duration","residual",0.43
"motr","R3","total_duration","L_u[2,1]",0.04
"motr","R3","total_duration","L_u[3,1]",-0.07
"motr","R3","total_duration","L_u[3,2]",0.19
"motr","R3","total_duration","L_u[4,1]",-0.04
"motr","R3","total_duration","L_u[4,2]",0.01
"motr","R3","total_duration","L_u[4,3]",0.07
"motr","R3","total_duration","L_u[5,1]",-0.01
"motr","R3","total_duration","L_u[5,2]",0.02
"motr","R3","total_duration","L_u[5,3]",0.06
"motr","R3","total_duration","L_u[5,4]",-0.01
"motr","R3","total_duration","L_u[6,1]",0.29
"motr","R3","total_duration","L_u[6,2]",-0.21
"motr","R3","total_duration","L_u[6,3]",-0.12
"motr","R3","total_duration","L_u[6,4]",0.02
"motr","R3","total_duration","L_u[6,5]",-0.02
"motr","R3","total_duration","L_u[7,1]",0.04
"motr","R3","total_duration","L_u[7,2]",0.16
"motr","R3","total_duration","L_u[7,3]",0
"motr","R3","total_duration","L_u[7,4]",0
"motr","R3","total_duration","L_u[7,5]",0.02
"motr","R3","total_duration","L_u[7,6]",-0.23
"motr","R3","total_duration","L_u[8,1]",-0.02
"motr","R3","total_duration","L_u[8,2]",0.05
"motr","R3","total_duration","L_u[8,3]",0.08
"motr","R3","total_duration","L_u[8,4]",0.01
"motr","R3","total_duration","L_u[8,5]",0.01
"motr","R3","total_duration","L_u[8,6]",-0.04
"motr","R3","total_duration","L_u[8,7]",-0.01
"motr","R3","total_duration","L_u[9,1]",-0.03
"motr","R3","total_duration","L_u[9,2]",0.05
"motr","R3","total_duration","L_u[9,3]",0.07
"motr","R3","total_duration","L_u[9,4]",0.02
"motr","R3","total_duration","L_u[9,5]",0.02
"motr","R3","total_duration","L_u[9,6]",-0.08
"motr","R3","total_duration","L_u[9,7]",0
"motr","R3","total_duration","L_u[9,8]",-0.01
"motr","R3","total_duration","L_w[2,1]",-0.17
"motr","R3","total_duration","L_w[3,1]",-0.17
"motr","R3","total_duration","L_w[3,2]",-0.02
"et","R3","gaze_duration","b_0",5.57
"et","R3","gaze_duration","b_Gram",0.05
"et","R3","gaze_duration","b_Gen",-0.02
"et","R3","gaze_duration","b_Synt",-0.01
"et","R3","gaze_duration","b_Lex",-0.04
"et","R3","gaze_duration","b_Gram_x_Synt",0.01
"et","R3","gaze_duration","b_Gram_x_Lex",0
"et","R3","gaze_duration","b_Gram_x_Gen_x_Synt",-0.03
"et","R3","gaze_duration","b_Gram_x_Gen_x_Lex",-0.02
"et","R3","gaze_duration","sj_0",0.21
"et","R3","gaze_duration","sj_Gram",0.07
"et","R3","gaze_duration","sj_Gen",0.03
"et","R3","gaze_duration","sj_Synt",0.02
"et","R3","gaze_duration","sj_Lex",0.02
"et","R3","gaze_duration","sj_Gram_x_Synt",0.02
"et","R3","gaze_duration","sj_Gram_x_Lex",0.03
"et","R3","gaze_duration","sj_Gram_x_Gen_x_Synt",0.07
"et","R3","gaze_duration","sj_Gram_x_Gen_x_Lex",0.06
"et","R3","gaze_duration","it_0",0.1
"et","R3","gaze_duration","it_Gram",0.04
"et","R3","gaze_duration","it_Gen",0.08
"et","R3","gaze_duration","residual",0.39
"et","R3","gaze_duration","L_u[2,1]",-0.04
"et","R3","gaze_duration","L_u[3,1]",-0.14
"et","R3","gaze_duration","L_u[3,2]",-0.02
"et","R3","gaze_duration","L_u[4,1]",-0.01
"et","R3","gaze_duration","L_u[4,2]",0.03
"et","R3","gaze_duration","L_u[4,3]",-0.01
"et","R3","gaze_duration","L_u[5,1]",-0.03
"et","R3","gaze_duration","L_u[5,2]",0.02
"et","R3","gaze_duration","L_u[5,3]",0.01
"et","R3","gaze_duration","L_u[5,4]",-0.02
"et","R3","gaze_duration","L_u[6,1]",0.08
"et","R3","gaze_duration","L_u[6,2]",-0.08
"et","R3","gaze_duration","L_u[6,3]",0
"et","R3","gaze_duration","L_u[6,4]",0.01
"et","R3","gaze_duration","L_u[6,5]",-0.01
"et","R3","gaze_duration","L_u[7,1]",0.03
"et","R3","gaze_duration","L_u[7,2]",0.05
"et","R3","gaze_duration","L_u[7,3]",0.01
"et","R3","gaze_duration","L_u[7,4]",0.02
"et","R3","gaze_duration","L_u[7,5]",0.02
"et","R3","gaze_duration","L_u[7,6]",-0.05
"et","R3","gaze_duration","L_u[8,1]",-0.18
"et","R3","gaze_duration","L_u[8,2]",0.11
"et","R3","gaze_duration","L_u[8,3]",-0.02
"et","R3","gaze_duration","L_u[8,4]",0.01
"et","R3","gaze_duration","L_u[8,5]",0.02
"et","R3","gaze_duration","L_u[8,6]",-0.01
"et","R3","gaze_duration","L_u[8,7]",0
"et","R3","gaze_duration","L_u[9,1]",0.02
"et","R3","gaze_duration","L_u[9,2]",-0.01
"et","R3","gaze_duration","L_u[9,3]",-0.03
"et","R3","gaze_duration","L_u[9,4]",0.02
"et","R3","gaze_duration","L_u[9,5]",0
"et","R3","gaze_duration","L_u[9,6]",0.01
"et","R3","gaze_duration","L_u[9,7]",-0.03
"et","R3","gaze_duration","L_u[9,8]",-0.02
"et","R3","gaze_duration","L_w[2,1]",0.2
"et","R3","gaze_duration","L_w[3,1]",0.09
"et","R3","gaze_duration","L_w[3,2]",0.18
"et","R3","go_past_time","b_0",5.71
"et","R3","go_past_time","b_Gram",0.13
"et","R3","go_past_time","b_Gen",-0.01
"et","R3","go_past_time","b_Synt",-0.05
"et","R3","go_past_time","b_Lex",-0.11
"et","R3","go_past_time","b_Gram_x_Synt",0.01
"et","R3","go_past_time","b_Gram_x_Lex",-0.02
"et","R3","go_past_time","b_Gram_x_Gen_x_Synt",0
"et","R3","go_past_time","b_Gram_x_Gen_x_Lex",-0.02
"et","R3","go_past_time","sj_0",0.25
"et","R3","go_past_time","sj_Gram",0.11
"et","R3","go_past_time","sj_Gen",0.02
"et","R3","go_past_time","sj_Synt",0.03
"et","R3","go_past_time","sj_Lex",0.04
"et","R3","go_past_time","sj_Gram_x_Synt",0.04
"et","R3","go_past_time","sj_Gram_x_Lex",0.03
"et","R3","go_past_time","sj_Gram_x_Gen_x_Synt",0.07
"et","R3","go_past_time","sj_Gram_x_Gen_x_Lex",0.05
"et","R3","go_past_time","it_0",0.12
"et","R3","go_past_time","it_Gram",0.05
"et","R3","go_past_time","it_Gen",0.09
"et","R3","go_past_time","residual",0.39
"et","R3","go_past_time","L_u[2,1]",0.16
"et","R3","go_past_time","L_u[3,1]",-0.04
"et","R3","go_past_time","L_u[3,2]",0.02
"et","R3","go_past_time","L_u[4,1]",-0.01
"et","R3","go_past_time","L_u[4,2]",0.01
"et","R3","go_past_time","L_u[4,3]",-0.01
"et","R3","go_past_time","L_u[5,1]",-0.03
"et","R3","go_past_time","L_u[5,2]",-0.01
"et","R3","go_past_time","L_u[5,3]",-0.02
"et","R3","go_past_time","L_u[5,4]",-0.01
"et","R3","go_past_time","L_u[6,1]",0.17
"et","R3","go_past_time","L_u[6,2]",-0.12
"et","R3","go_past_time","L_u[6,3]",-0.01
"et","R3","go_past_time","L_u[6,4]",0
"et","R3","go_past_time","L_u[6,5]",-0.01
"et","R3","go_past_time","L_u[7,1]",0.02
"et","R3","go_past_time","L_u[7,2]",-0.02
"et","R3","go_past_time","L_u[7,3]",-0.01
"et","R3","go_past_time","L_u[7,4]",-0.02
"et","R3","go_past_time","L_u[7,5]",-0.01
"et","R3","go_past_time","L_u[7,6]",-0.05
"et","R3","go_past_time","L_u[8,1]",-0.02
"et","R3","go_past_time","L_u[8,2]",0.13
"et","R3","go_past_time","L_u[8,3]",-0.01
"et","R3","go_past_time","L_u[8,4]",-0.01
"et","R3","go_past_time","L_u[8,5]",0.03
"et","R3","go_past_time","L_u[8,6]",-0.05
"et","R3","go_past_time","L_u[8,7]",-0.01
"et","R3","go_past_time","L_u[9,1]",0.11
"et","R3","go_past_time","L_u[9,2]",-0.01
"et","R3","go_past_time","L_u[9,3]",-0.01
"et","R3","go_past_time","L_u[9,4]",0
"et","R3","go_past_time","L_u[9,5]",-0.01
"et","R3","go_past_time","L_u[9,6]",0.03
"et","R3","go_past_time","L_u[9,7]",0
"et","R3","go_past_time","L_u[9,8]",-0.01
"et","R3","go_past_time","L_w[2,1]",-0.3
"et","R3","go_past_time","L_w[3,1]",0.09
"et","R3","go_past_time","L_w[3,2]",0.07
"et","R3","total_duration","b_0",5.9
"et","R3","total_duration","b_Gram",0.16
"et","R3","total_duration","b_Gen",-0.01
"et","R3","total_duration","b_Synt",-0.05
"et","R3","total_duration","b_Lex",-0.15
"et","R3","total_duration","b_Gram_x_Synt",0.01
"et","R3","total_duration","b_Gram_x_Lex",-0.01
"et","R3","total_duration","b_Gram_x_Gen_x_Synt",0.03
"et","R3","total_duration","b_Gram_x_Gen_x_Lex",-0.04
"et","R3","total_duration","sj_0",0.28
"et","R3","total_duration","sj_Gram",0.12
"et","R3","total_duration","sj_Gen",0.03
"et","R3","total_duration","sj_Synt",0.03
"et","R3","total_duration","sj_Lex",0.05
"et","R3","total_duration","sj_Gram_x_Synt",0.03
"et","R3","total_duration","sj_Gram_x_Lex",0.04
"et","R3","total_duration","sj_Gram_x_Gen_x_Synt",0.17
"et","R3","total_duration","sj_Gram_x_Gen_x_Lex",0.07
"et","R3","total_duration","it_0",0.14
"et","R3","total_duration","it_Gram",0.04
"et","R3","total_duration","it_Gen",0.14
"et","R3","total_duration","residual",0.45
"et","R3","total_duration","L_u[2,1]",-0.16
"et","R3","total_duration","L_u[3,1]",0.02
"et","R3","total_duration","L_u[3,2]",0.06
"et","R3","total_duration","L_u[4,1]",0.12
"et","R3","total_duration","L_u[4,2]",-0.02
"et","R3","total_duration","L_u[4,3]",0.01
"et","R3","total_duration","L_u[5,1]",0.17
"et","R3","total_duration","L_u[5,2]",-0.21
"et","R3","total_duration","L_u[5,3]",0.03
"et","R3","total_duration","L_u[5,4]",-0.04
"et","R3","total_duration","L_u[6,1]",-0.07
"et","R3","total_duration","L_u[6,2]",-0.1
"et","R3","total_duration","L_u[6,3]",-0.02
"et","R3","total_duration","L_u[6,4]",0.03
"et","R3","total_duration","L_u[6,5]",-0.01
"et","R3","total_duration","L_u[7,1]",0.04
"et","R3","total_duration","L_u[7,2]",-0.07
"et","R3","total_duration","L_u[7,3]",-0.01
"et","R3","total_duration","L_u[7,4]",-0.04
"et","R3","total_duration","L_u[7,5]",-0.01
"et","R3","total_duration","L_u[7,6]",-0.05
"et","R3","total_duration","L_u[8,1]",-0.2
"et","R3","total_duration","L_u[8,2]",0.15
"et","R3","total_duration","L_u[8,3]",0.05
"et","R3","total_duration","L_u[8,4]",-0.06
"et","R3","total_duration","L_u[8,5]",-0.01
"et","R3","total_duration","L_u[8,6]",-0.07
"et","R3","total_duration","L_u[8,7]",-0.01
"et","R3","total_duration","L_u[9,1]",0
"et","R3","total_duration","L_u[9,2]",0.01
"et","R3","total_duration","L_u[9,3]",0
"et","R3","total_duration","L_u[9,4]",-0.02
"et","R3","total_duration","L_u[9,5]",-0.02
"et","R3","total_duration","L_u[9,6]",0.04
"et","R3","total_duration","L_u[9,7]",-0.01
"et","R3","total_duration","L_u[9,8]",-0.01
"et","R3","total_duration","L_w[2,1]",-0.11
"et","R3","total_duration","L_w[3,1]",0.04
"et","R3","total_duration","L_w[3,2]",0.06
