"method","region","measure","beta","bval","pval","sig"
"motr","R5","RegIn_incl","b_Gram_x_Gen_x_Lex",0.28522613318176,0.0586434948275445,"."
"motr","R5","RegIn_incl","b_Gram_x_Gen_x_Synt",-0.16463108396493,0.282646766293362,""
"et","R2","gaze_duration","b_0",5.57320312451363,0.000000000000000000000000000000000000000000000000000000000000000000222462498236929,"SIG"
"et","R2","gaze_duration","b_Gram",-0.0183959947532127,0.329412553631041,""
"et","R2","gaze_duration","b_Gen",-0.0109955678126868,0.559018817313419,""
"et","R2","gaze_duration","b_Lex",0.0558970553615947,0.146606138275297,""
"et","R2","gaze_duration","b_Synt",-0.0165661232730383,0.663493942492968,""
"et","R2","gaze_duration","b_Gram_x_Lex",-0.000510507384650246,0.979641363013212,""
"et","R2","gaze_duration","b_Gram_x_Synt",0.00424295640701574,0.831438585771712,""
"et","R2","gaze_duration","b_Gram_x_Gen_x_Lex",0.0329033119828872,0.411030925845551,""
"et","R2","gaze_duration","b_Gram_x_Gen_x_Synt",0.0112426744751707,0.777966071806022,""
"et","R2","go_past_time","b_0",5.71539639304317,0.000000000000000000000000000000000000000000000000000000000000000000000000000527058055039942,"SIG"
"et","R2","go_past_time","b_Gram",-0.012178759649134,0.502066655280141,""
"et","R2","go_past_time","b_Gen",0.00264753966025799,0.882113878312842,""
"et","R2","go_past_time","b_Lex",0.0530826010603757,0.257163308242539,""
"et","R2","go_past_time","b_Synt",-0.0112073814493421,0.809615090960184,""
"et","R2","go_past_time","b_Gram_x_Lex",-0.0180435237257387,0.341747939970704,""
"et","R2","go_past_time","b_Gram_x_Synt",-0.00283420141123964,0.880952713176142,""
"et","R2","go_past_time","b_Gram_x_Gen_x_Lex",0.0148238870233069,0.696173621757926,""
"et","R2","go_past_time","b_Gram_x_Gen_x_Synt",0.0371172634156532,0.326821692964579,""
"et","R2","total_duration","b_0",6.02875436509377,0.0000000000000000000000000000000000000000000000000000000000000000000000025510220848134,"SIG"
"et","R2","total_duration","b_Gram",0.125687288223274,0.000000181342300762843,"SIG"
"et","R2","total_duration","b_Gen",-0.017318371406546,0.44168589656276,""
"et","R2","total_duration","b_Lex",0.167308401776038,0.00190096229093895,"SIG"
"et","R2","total_duration","b_Synt",0.0205882055471768,0.686832929985885,""
"et","R2","total_duration","b_Gram_x_Lex",-0.00867813091664919,0.715431194795354,""
"et","R2","total_duration","b_Gram_x_Synt",-0.00395143043659365,0.867649647676103,""
"et","R2","total_duration","b_Gram_x_Gen_x_Lex",0.0476638566842117,0.317093619975459,""
"et","R2","total_duration","b_Gram_x_Gen_x_Synt",-0.0407247165566905,0.390296844963314,""
"et","R2","FPReg","b_0",-1.62793372961457,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063182894123547,"SIG"
"et","R2","FPReg","b_Gram",0.416200032167143,0.0000000000954987445130255,"SIG"
"et","R2","FPReg","b_Gen",0.00597887222726235,0.924548044826077,""
"et","R2","FPReg","b_Lex",0.314915752156682,0.00463512706840587,"SIG"
"et","R2","FPReg","b_Synt",0.0781184904386057,0.477838525969897,""
"et","R2","FPReg","b_Gram_x_Lex",-0.0807287939668744,0.251771857079757,""
"et","R2","FPReg","b_Gram_x_Synt",-0.0105680037073022,0.877780428067835,""
"et","R2","FPReg","b_Gram_x_Gen_x_Lex",0.0609449902723877,0.660231967716738,""
"et","R2","FPReg","b_Gram_x_Gen_x_Synt",-0.114455563415573,0.400503390962031,""
"et","R2","RegIn_incl","b_0",-1.32899781587852,0.00000000000000000000000000000000000000000000000323111517883005,"SIG"
"et","R2","RegIn_incl","b_Gram",0.401397975839695,0.00000000000678550845309829,"SIG"
"et","R2","RegIn_incl","b_Gen",-0.0597912819777314,0.302557028881761,""
"et","R2","RegIn_incl","b_Lex",0.240923789868774,0.0260229434611523,"SIG"
"et","R2","RegIn_incl","b_Synt",0.126819007660496,0.240167995664507,""
"et","R2","RegIn_incl","b_Gram_x_Lex",0.0154559480247435,0.806612527200612,""
"et","R2","RegIn_incl","b_Gram_x_Synt",-0.0308026771252967,0.622960293959622,""
"et","R2","RegIn_incl","b_Gram_x_Gen_x_Lex",0.035992084567053,0.774518615445758,""
"et","R2","RegIn_incl","b_Gram_x_Gen_x_Synt",0.0652870840554066,0.600540151923294,""
"et","R3","gaze_duration","b_0",5.56618664712214,0.0000000000000000000000000000000000000000000000000000000000000000000641480810490227,"SIG"
"et","R3","gaze_duration","b_Gram",0.0542721962746677,0.017933048557582,"SIG"
"et","R3","gaze_duration","b_Gen",-0.0239875954348325,0.202436849997595,""
"et","R3","gaze_duration","b_Lex",0.0455728475893586,0.189893410656505,""
"et","R3","gaze_duration","b_Synt",0.0100573508551615,0.770216223153839,""
"et","R3","gaze_duration","b_Gram_x_Lex",0.00294383334057591,0.882988275933581,""
"et","R3","gaze_duration","b_Gram_x_Synt",-0.00914786706698538,0.646641591551591,""
"et","R3","gaze_duration","b_Gram_x_Gen_x_Lex",0.0204243859724908,0.609599687631919,""
"et","R3","gaze_duration","b_Gram_x_Gen_x_Synt",0.036189361817345,0.364687466517554,""
"et","R3","go_past_time","b_0",5.71470570310609,0.00000000000000000000000000000000000000000000000000000000000000000162938064808792,"SIG"
"et","R3","go_past_time","b_Gram",0.136325286581305,0.00000252337684934102,"SIG"
"et","R3","go_past_time","b_Gen",-0.0118093860223326,0.531805555966797,""
"et","R3","go_past_time","b_Lex",0.122414172817415,0.00408623307447114,"SIG"
"et","R3","go_past_time","b_Synt",0.0478296092860409,0.243668279128983,""
"et","R3","go_past_time","b_Gram_x_Lex",0.0254337025598299,0.204732573595055,""
"et","R3","go_past_time","b_Gram_x_Synt",-0.0119767293343965,0.549226316234442,""
"et","R3","go_past_time","b_Gram_x_Gen_x_Lex",0.0214683356689268,0.5923159094365,""
"et","R3","go_past_time","b_Gram_x_Gen_x_Synt",0.00481875696155506,0.904142010534998,""
"et","R3","total_duration","b_0",5.89454928027669,0.0000000000000000000000000000000000000000000000000000000000000000711683779731492,"SIG"
"et","R3","total_duration","b_Gram",0.172116379729168,0.000000596821548824945,"SIG"
"et","R3","total_duration","b_Gen",-0.0132250806681681,0.546258556916735,""
"et","R3","total_duration","b_Lex",0.172791920922171,0.000359080099913701,"SIG"
"et","R3","total_duration","b_Synt",0.0469238434420665,0.300026269274705,""
"et","R3","total_duration","b_Gram_x_Lex",0.0132019678958229,0.569140565595531,""
"et","R3","total_duration","b_Gram_x_Synt",-0.00784265412036675,0.734209202122024,""
"et","R3","total_duration","b_Gram_x_Gen_x_Lex",0.0492949513916798,0.287892794709507,""
"et","R3","total_duration","b_Gram_x_Gen_x_Synt",-0.0426935373032026,0.355543196640424,""
"et","R3","FPReg","b_0",-1.62793372961457,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063182894123547,"SIG"
"et","R3","FPReg","b_Gram",0.416200032167143,0.0000000000954987445130255,"SIG"
"et","R3","FPReg","b_Gen",0.00597887222726235,0.924548044826077,""
"et","R3","FPReg","b_Lex",0.314915752156682,0.00463512706840587,"SIG"
"et","R3","FPReg","b_Synt",0.0781184904386057,0.477838525969897,""
"et","R3","FPReg","b_Gram_x_Lex",-0.0807287939668744,0.251771857079757,""
"et","R3","FPReg","b_Gram_x_Synt",-0.0105680037073022,0.877780428067835,""
"et","R3","FPReg","b_Gram_x_Gen_x_Lex",0.0609449902723877,0.660231967716738,""
"et","R3","FPReg","b_Gram_x_Gen_x_Synt",-0.114455563415573,0.400503390962031,""
"et","R3","RegIn_incl","b_0",-1.32899781587852,0.00000000000000000000000000000000000000000000000323111517883005,"SIG"
"et","R3","RegIn_incl","b_Gram",0.401397975839695,0.00000000000678550845309829,"SIG"
"et","R3","RegIn_incl","b_Gen",-0.0597912819777314,0.302557028881761,""
"et","R3","RegIn_incl","b_Lex",0.240923789868774,0.0260229434611523,"SIG"
"et","R3","RegIn_incl","b_Synt",0.126819007660496,0.240167995664507,""
"et","R3","RegIn_incl","b_Gram_x_Lex",0.0154559480247435,0.806612527200612,""
"et","R3","RegIn_incl","b_Gram_x_Synt",-0.0308026771252967,0.622960293959622,""
"et","R3","RegIn_incl","b_Gram_x_Gen_x_Lex",0.035992084567053,0.774518615445758,""
"et","R3","RegIn_incl","b_Gram_x_Gen_x_Synt",0.0652870840554066,0.600540151923294,""
"et","R4","gaze_duration","b_0",5.69466167618032,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000146803676085671,"SIG"
"et","R4","gaze_duration","b_Gram",0.00237193169560887,0.899814271155072,""
"et","R4","gaze_duration","b_Gen",0.0207163660270253,0.261896324786227,""
"et","R4","gaze_duration","b_Lex",-0.117846958988143,0.0379164310951671,"SIG"
"et","R4","gaze_duration","b_Synt",0.153799412990625,0.00773798369776412,"SIG"
"et","R4","gaze_duration","b_Gram_x_Lex",-0.0196818704789556,0.312239244046942,""
"et","R4","gaze_duration","b_Gram_x_Synt",-0.0249747746885775,0.206360204279467,""
"et","R4","gaze_duration","b_Gram_x_Gen_x_Lex",0.0465113714088503,0.232494883788521,""
"et","R4","gaze_duration","b_Gram_x_Gen_x_Synt",-0.0381892827803872,0.333936876757243,""
"et","R4","go_past_time","b_0",5.80545952168079,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000972343300572553,"SIG"
"et","R4","go_past_time","b_Gram",0.058655375739244,0.000596045470992893,"SIG"
"et","R4","go_past_time","b_Gen",0.0100174719422129,0.553080102364953,""
"et","R4","go_past_time","b_Lex",-0.0744676043811786,0.236075650759097,""
"et","R4","go_past_time","b_Synt",0.180628811813815,0.00553381817327217,"SIG"
"et","R4","go_past_time","b_Gram_x_Lex",0.0042305466074894,0.812246177521351,""
"et","R4","go_past_time","b_Gram_x_Synt",-0.0309736564353809,0.0865517624179206,"."
"et","R4","go_past_time","b_Gram_x_Gen_x_Lex",0.0548222618908823,0.123941978712276,""
"et","R4","go_past_time","b_Gram_x_Gen_x_Synt",-0.0254335246726459,0.481467138516719,""
"et","R4","total_duration","b_0",5.96205216958541,0.00000000000000000000000000000000000000000000000000000000000000000000000000000260971114985198,"SIG"
"et","R4","total_duration","b_Gram",0.0650425936399764,0.00136508783029247,"SIG"
"et","R4","total_duration","b_Gen",0.00836939690850493,0.676283001503563,""
"et","R4","total_duration","b_Lex",-0.0476067699147243,0.418141688990147,""
"et","R4","total_duration","b_Synt",0.200374271463038,0.00126170912190342,"SIG"
"et","R4","total_duration","b_Gram_x_Lex",0.0107934868111515,0.609890153265919,""
"et","R4","total_duration","b_Gram_x_Synt",-0.0346876460287274,0.103019504152966,""
"et","R4","total_duration","b_Gram_x_Gen_x_Lex",0.0584525397933583,0.167218921128317,""
"et","R4","total_duration","b_Gram_x_Gen_x_Synt",-0.0207829132819312,0.625081134043262,""
"et","R4","FPReg","b_0",-1.62793372961457,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063182894123547,"SIG"
"et","R4","FPReg","b_Gram",0.416200032167143,0.0000000000954987445130255,"SIG"
"et","R4","FPReg","b_Gen",0.00597887222726235,0.924548044826077,""
"et","R4","FPReg","b_Lex",0.314915752156682,0.00463512706840587,"SIG"
"et","R4","FPReg","b_Synt",0.0781184904386057,0.477838525969897,""
"et","R4","FPReg","b_Gram_x_Lex",-0.0807287939668744,0.251771857079757,""
"et","R4","FPReg","b_Gram_x_Synt",-0.0105680037073022,0.877780428067835,""
"et","R4","FPReg","b_Gram_x_Gen_x_Lex",0.0609449902723877,0.660231967716738,""
"et","R4","FPReg","b_Gram_x_Gen_x_Synt",-0.114455563415573,0.400503390962031,""
"et","R4","RegIn_incl","b_0",-1.32899781587852,0.00000000000000000000000000000000000000000000000323111517883005,"SIG"
"et","R4","RegIn_incl","b_Gram",0.401397975839695,0.00000000000678550845309829,"SIG"
"et","R4","RegIn_incl","b_Gen",-0.0597912819777314,0.302557028881761,""
"et","R4","RegIn_incl","b_Lex",0.240923789868774,0.0260229434611523,"SIG"
"et","R4","RegIn_incl","b_Synt",0.126819007660496,0.240167995664507,""
"et","R4","RegIn_incl","b_Gram_x_Lex",0.0154559480247435,0.806612527200612,""
"et","R4","RegIn_incl","b_Gram_x_Synt",-0.0308026771252967,0.622960293959622,""
"et","R4","RegIn_incl","b_Gram_x_Gen_x_Lex",0.035992084567053,0.774518615445758,""
"et","R4","RegIn_incl","b_Gram_x_Gen_x_Synt",0.0652870840554066,0.600540151923294,""
"et","R5","gaze_duration","b_0",5.64428434081862,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000372355088878464,"SIG"
"et","R5","gaze_duration","b_Gram",0.00413584224354435,0.822707297818488,""
"et","R5","gaze_duration","b_Gen",-0.000943731123046554,0.958963940848305,""
"et","R5","gaze_duration","b_Lex",0.0533067418792204,0.355048392219722,""
"et","R5","gaze_duration","b_Synt",0.0502463260779149,0.383612912059884,""
"et","R5","gaze_duration","b_Gram_x_Lex",0.0057446466469084,0.767766541992226,""
"et","R5","gaze_duration","b_Gram_x_Synt",-0.0206030958743349,0.292865504029182,""
"et","R5","gaze_duration","b_Gram_x_Gen_x_Lex",-0.065434689195794,0.0923894344961958,"."
"et","R5","gaze_duration","b_Gram_x_Gen_x_Synt",0.000431983223575069,0.991188220849642,""
"et","R5","go_past_time","b_0",5.72187887039681,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000133406427188002,"SIG"
"et","R5","go_past_time","b_Gram",-0.00989687795393522,0.624475976037163,""
"et","R5","go_past_time","b_Gen",-0.00429111438926191,0.81298481144355,""
"et","R5","go_past_time","b_Lex",0.0777283769224156,0.197785934358409,""
"et","R5","go_past_time","b_Synt",0.0617645952742659,0.305004019337189,""
"et","R5","go_past_time","b_Gram_x_Lex",-0.00269516041624815,0.888503484981661,""
"et","R5","go_past_time","b_Gram_x_Synt",0.00427061105445767,0.825322557787655,""
"et","R5","go_past_time","b_Gram_x_Gen_x_Lex",-0.0351081261058915,0.360589188299668,""
"et","R5","go_past_time","b_Gram_x_Gen_x_Synt",-0.00513425409612935,0.894305914430412,""
"et","R5","total_duration","b_0",5.88238250984509,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000379114763741249,"SIG"
"et","R5","total_duration","b_Gram",-0.0153472267548276,0.479803832273761,""
"et","R5","total_duration","b_Gen",-0.010238211808997,0.623179903456595,""
"et","R5","total_duration","b_Lex",0.0729870514827868,0.303675670539428,""
"et","R5","total_duration","b_Synt",0.0970121917679729,0.173550227709091,""
"et","R5","total_duration","b_Gram_x_Lex",-0.00274420076627242,0.900901321192406,""
"et","R5","total_duration","b_Gram_x_Synt",0.0159369153071101,0.470908591558393,""
"et","R5","total_duration","b_Gram_x_Gen_x_Lex",-0.0355996338709061,0.41898193076981,""
"et","R5","total_duration","b_Gram_x_Gen_x_Synt",0.00651219324066337,0.882734549744592,""
"et","R5","FPReg","b_0",-1.62793372961457,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063182894123547,"SIG"
"et","R5","FPReg","b_Gram",0.416200032167143,0.0000000000954987445130255,"SIG"
"et","R5","FPReg","b_Gen",0.00597887222726235,0.924548044826077,""
"et","R5","FPReg","b_Lex",0.314915752156682,0.00463512706840587,"SIG"
"et","R5","FPReg","b_Synt",0.0781184904386057,0.477838525969897,""
"et","R5","FPReg","b_Gram_x_Lex",-0.0807287939668744,0.251771857079757,""
"et","R5","FPReg","b_Gram_x_Synt",-0.0105680037073022,0.877780428067835,""
"et","R5","FPReg","b_Gram_x_Gen_x_Lex",0.0609449902723877,0.660231967716738,""
"et","R5","FPReg","b_Gram_x_Gen_x_Synt",-0.114455563415573,0.400503390962031,""
"et","R5","RegIn_incl","b_0",-1.32899781587852,0.00000000000000000000000000000000000000000000000323111517883005,"SIG"
"et","R5","RegIn_incl","b_Gram",0.401397975839695,0.00000000000678550845309829,"SIG"
"et","R5","RegIn_incl","b_Gen",-0.0597912819777314,0.302557028881761,""
"et","R5","RegIn_incl","b_Lex",0.240923789868774,0.0260229434611523,"SIG"
"et","R5","RegIn_incl","b_Synt",0.126819007660496,0.240167995664507,""
"et","R5","RegIn_incl","b_Gram_x_Lex",0.0154559480247435,0.806612527200612,""
"et","R5","RegIn_incl","b_Gram_x_Synt",-0.0308026771252967,0.622960293959622,""
"et","R5","RegIn_incl","b_Gram_x_Gen_x_Lex",0.035992084567053,0.774518615445758,""
"et","R5","RegIn_incl","b_Gram_x_Gen_x_Synt",0.0652870840554066,0.600540151923294,""
